Orthogroup,V2,go_id
OG0000002,100858069,GO:0005200
OG0000002,100858069,GO:0005882
OG0000002,100858069,GO:0007010
OG0000003,100857348,GO:0005200
OG0000003,100857348,GO:0005882
OG0000003,100857348,GO:0007010
OG0000006,100857270,GO:0005200
OG0000006,100857270,GO:0005882
OG0000006,100857270,GO:0007010
OG0000007,100857391,GO:0003677
OG0000007,100857391,GO:0000786
OG0000007,100857391,GO:0046982
OG0000007,100857391,GO:0030527
OG0000007,100857391,GO:0005634
OG0000007,100857391,GO:0005694
OG0000007,100857391,GO:0003684
OG0000007,100857391,GO:0019899
OG0000007,100857391,GO:0042393
OG0000007,100857391,GO:0000077
OG0000007,100857391,GO:0000724
OG0000007,100857391,GO:0006281
OG0000007,100857391,GO:0006974
OG0000007,100857391,GO:0007283
OG0000007,100857391,GO:0000781
OG0000007,100857391,GO:0000785
OG0000007,100857391,GO:0000794
OG0000007,100857391,GO:0001673
OG0000007,100857391,GO:0005654
OG0000007,100857391,GO:0005657
OG0000007,100857391,GO:0005813
OG0000007,100857391,GO:0016607
OG0000007,100857391,GO:0035861
OG0000007,100857391,GO:0090734
OG0000007,100857391,GO:0001741
OG0000008,100858607,GO:0003677
OG0000008,100858607,GO:0000786
OG0000008,100858607,GO:0046982
OG0000008,100858607,GO:0030527
OG0000008,100858607,GO:0005634
OG0000008,100858607,GO:0005694
OG0000008,100858607,GO:0006334
OG0000008,100858607,GO:0042742
OG0000009,374069,GO:0005524
OG0000009,374069,GO:0005515
OG0000009,374069,GO:0051015
OG0000009,374069,GO:0003774
OG0000009,374069,GO:0016459
OG0000011,425441,GO:0016021
OG0000011,425441,GO:0016020
OG0000011,425441,GO:0005452
OG0000011,425441,GO:0006820
OG0000011,425441,GO:0008509
OG0000011,425441,GO:0005886
OG0000011,425441,GO:0055085
OG0000011,425441,GO:0006811
OG0000011,425441,GO:0051453
OG0000011,425441,GO:0050801
OG0000011,425441,GO:0008510
OG0000011,425441,GO:0015081
OG0000011,425441,GO:0015106
OG0000011,425441,GO:0015108
OG0000011,425441,GO:0022857
OG0000011,425441,GO:0015701
OG0000011,425441,GO:0035725
OG0000011,425441,GO:0042391
